centr_degree_tmax                                              , Theoretical maximum for degree centralization                                                         , https://igraph.org/r/doc/centr_degree_tmax.html               
centr_eigen                                                    , Centralize a graph according to the eigenvector centrality of vertices                                , https://igraph.org/r/doc/centr_eigen.html                     
centr_eigen_tmax                                               , Theoretical maximum for betweenness centralization                                                    , https://igraph.org/r/doc/centr_eigen_tmax.html                
chordal_ring                                                   , Create an extended chordal ring graph                                                                 , https://igraph.org/r/doc/make_chordal_ring.html               
cited.type.game                                                , Random citation graphs                                                                                , https://igraph.org/r/doc/sample_last_cit.html                 
citing.cited.type.game                                         , Random citation graphs                                                                                , https://igraph.org/r/doc/sample_last_cit.html                 
cit_cit_types                                                  , Random citation graphs                                                                                , https://igraph.org/r/doc/sample_last_cit.html                 
cit_types                                                      , Random citation graphs                                                                                , https://igraph.org/r/doc/sample_last_cit.html                 
clique.number                                                  , The functions find cliques ie. complete subgraphs in a graph                                          , https://igraph.org/r/doc/cliques.html                         
cliques                                                        , The functions find cliques ie. complete subgraphs in a graph                                          , https://igraph.org/r/doc/cliques.html                         
clique_num                                                     , The functions find cliques ie. complete subgraphs in a graph                                          , https://igraph.org/r/doc/cliques.html                         
closeness                                                      , Closeness centrality of vertices                                                                      , https://igraph.org/r/doc/closeness.html                       
closeness.estimate                                             , Closeness centrality of vertices                                                                      , https://igraph.org/r/doc/closeness.html                       
cluster.distribution                                           , Connected components of a graph                                                                       , https://igraph.org/r/doc/components.html                      
clusters                                                       , Connected components of a graph                                                                       , https://igraph.org/r/doc/components.html                      
cluster_edge_betweenness                                       , Community structure detection based on edge betweenness                                               , https://igraph.org/r/doc/cluster_edge_betweenness.html        
cluster_fast_greedy                                            , Community structure via greedy optimization of modularity                                             , https://igraph.org/r/doc/cluster_fast_greedy.html             
cluster_infomap                                                , Infomap community finding                                                                             , https://igraph.org/r/doc/cluster_infomap.html                 
cluster_label_prop                                             , Finding communities based on propagating labels                                                       , https://igraph.org/r/doc/cluster_label_prop.html              
cluster_leading_eigen                                          , Community structure detecting based on the leading eigenvector of the community matrix                , https://igraph.org/r/doc/cluster_leading_eigen.html           
cluster_louvain                                                , Finding community structure by multi-level optimization of modularity                                 , https://igraph.org/r/doc/cluster_louvain.html                 
cluster_optimal                                                , Optimal community structure                                                                           , https://igraph.org/r/doc/cluster_optimal.html                 
cluster_spinglass                                              , Finding communities in graphs based on statistical meachanics                                         , https://igraph.org/r/doc/cluster_spinglass.html               
cluster_walktrap                                               , Community strucure via short random walks                                                             , https://igraph.org/r/doc/cluster_walktrap.html                
cocitation                                                     , Cocitation coupling                                                                                   , https://igraph.org/r/doc/cocitation.html                      
code.length                                                    , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
code_len                                                       , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
cohesion                                                       , Vertex connectivity.                                                                                  , https://igraph.org/r/doc/vertex_connectivity.html             
cohesion.cohesiveBlocks                                        , Calculate Cohesive Blocks                                                                             , https://igraph.org/r/doc/cohesive_blocks.html                 
cohesion.igraph                                                , Vertex connectivity.                                                                                  , https://igraph.org/r/doc/vertex_connectivity.html             
cohesive.blocks                                                , Calculate Cohesive Blocks                                                                             , https://igraph.org/r/doc/cohesive_blocks.html                 
cohesiveBlocks                                                 , Calculate Cohesive Blocks                                                                             , https://igraph.org/r/doc/cohesive_blocks.html                 
cohesive_blocks                                                , Calculate Cohesive Blocks                                                                             , https://igraph.org/r/doc/cohesive_blocks.html                 
communities                                                    , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
compare                                                        , Compares community structures using various metrics                                                   , https://igraph.org/r/doc/compare.html                         
compare.communities                                            , Compares community structures using various metrics                                                   , https://igraph.org/r/doc/compare.html                         
compare.membership                                             , Compares community structures using various metrics                                                   , https://igraph.org/r/doc/compare.html                         
complementer                                                   , Complementer of a graph                                                                               , https://igraph.org/r/doc/complementer.html                    
components                                                     , Connected components of a graph                                                                       , https://igraph.org/r/doc/components.html                      
component_distribution                                         , Connected components of a graph                                                                       , https://igraph.org/r/doc/components.html                      
component_wise                                                 , Component-wise layout                                                                                 , https://igraph.org/r/doc/component_wise.html                  
compose                                                        , Compose two graphs as binary relations                                                                , https://igraph.org/r/doc/compose.html                         
connect                                                        , Neighborhood of graph vertices                                                                        , https://igraph.org/r/doc/ego.html                             
connect.neighborhood                                           , Neighborhood of graph vertices                                                                        , https://igraph.org/r/doc/ego.html                             
consensus_tree                                                 , Create a consensus tree from several hierarchical random graph models                                 , https://igraph.org/r/doc/consensus_tree.html                  
console                                                        , The igraph console                                                                                    , https://igraph.org/r/doc/console.html                         
constraint                                                     , Burt's constraint                                                                                     , https://igraph.org/r/doc/constraint.html                      
contract                                                       , Contract several vertices into a single one                                                           , https://igraph.org/r/doc/contract.html                        
contract.vertices                                              , Contract several vertices into a single one                                                           , https://igraph.org/r/doc/contract.html                        
convex.hull                                                    , Convex hull of a set of vertices                                                                      , https://igraph.org/r/doc/convex_hull.html                     
convex_hull                                                    , Convex hull of a set of vertices                                                                      , https://igraph.org/r/doc/convex_hull.html                     
coreness                                                       , K-core decomposition of graphs                                                                        , https://igraph.org/r/doc/coreness.html                        
count.multiple                                                 , Find the multiple or loop edges in a graph                                                            , https://igraph.org/r/doc/which_multiple.html                  
count_components                                               , Connected components of a graph                                                                       , https://igraph.org/r/doc/components.html                      
count_isomorphisms                                             , Count the number of isomorphic mappings between two graphs                                            , https://igraph.org/r/doc/count_isomorphisms.html              
count_max_cliques                                              , The functions find cliques ie. complete subgraphs in a graph                                          , https://igraph.org/r/doc/cliques.html                         
count_motifs                                                   , Graph motifs                                                                                          , https://igraph.org/r/doc/count_motifs.html                    
count_multiple                                                 , Find the multiple or loop edges in a graph                                                            , https://igraph.org/r/doc/which_multiple.html                  
count_subgraph_isomorphisms                                    , Count the isomorphic mappings between a graph and the subgraphs of another graph                      , https://igraph.org/r/doc/count_subgraph_isomorphisms.html     
count_triangles                                                , Find triangles in graphs                                                                              , https://igraph.org/r/doc/count_triangles.html                 
create.communities                                             , Creates a communities object.                                                                         , https://igraph.org/r/doc/make_clusters.html                   
crossing                                                       , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
curve_multiple                                                 , Optimal edge curvature when plotting graphs                                                           , https://igraph.org/r/doc/curve_multiple.html                  
cutat                                                          , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
cut_at                                                         , Functions to deal with the result of network community detection                                      , https://igraph.org/r/doc/communities.html                     
decompose                                                      , Decompose a graph into components                                                                     , https://igraph.org/r/doc/decompose.html                       
decompose.graph                                                , Decompose a graph into components                                                                     , https://igraph.org/r/doc/decompose.html                       
degree                                                         , Degree and degree distribution of the vertices                                                        , https://igraph.org/r/doc/degree.html                          
degree.distribution                                            , Degree and degree distribution of the vertices                                                        , https://igraph.org/r/doc/degree.html                          
degree.sequence.game                                           , Generate random graphs with a given degree sequence                                                   , https://igraph.org/r/doc/sample_degseq.html                   
degree_distribution                                            , Degree and degree distribution of the vertices                                                        , https://igraph.org/r/doc/degree.html                          
degseq                                                         , Generate random graphs with a given degree sequence                                                   , https://igraph.org/r/doc/sample_degseq.html                   
delete.edges                                                   , Delete edges from a graph                                                                             , https://igraph.org/r/doc/delete_edges.html                    
delete.vertices                                                , Delete vertices from a graph                                                                          , https://igraph.org/r/doc/delete_vertices.html                 
delete_edges                                                   , Delete edges from a graph                                                                             , https://igraph.org/r/doc/delete_edges.html                    
delete_edge_attr                                               , Delete an edge attribute                                                                              , https://igraph.org/r/doc/delete_edge_attr.html                
delete_graph_attr                                              , Delete a graph attribute                                                                              , https://igraph.org/r/doc/delete_graph_attr.html               
delete_vertex_attr                                             , Delete a vertex attribute                                                                             , https://igraph.org/r/doc/delete_vertex_attr.html              
delete_vertices                                                , Delete vertices from a graph                                                                          , https://igraph.org/r/doc/delete_vertices.html                 
dendPlot                                                       , Community structure dendrogram plots                                                                  , https://igraph.org/r/doc/plot_dendrogram.communities.html     
de_bruijn_graph                                                , De Bruijn graphs                                                                                      , https://igraph.org/r/doc/make_de_bruijn_graph.html            
dfs                                                            , Depth-first search                                                                                    , https://igraph.org/r/doc/dfs.html                             
diameter                                                       , Diameter of a graph                                                                                   , https://igraph.org/r/doc/diameter.html                        
difference                                                     , Difference of two sets                                                                                , https://igraph.org/r/doc/difference.html                      
